age,M,F
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,3.68E-05,0
22,6.98E-05,0
23,0.000100868176256,0
24,0.000128330141435,5.66E-05
25,0.000128330141435,5.66E-05
26,0.000128330141435,0.000113491723036
27,0.000156150422419,0.000113491723036
28,0.000175798514534,0.000143592258825
29,0.000170204340849,0.000143592258825
30,0.000224565532119,0.000143592258825
31,0.00025447591347,0.000146832169204
32,0.000283156327615,0.000202494410723
33,0.000425842247369,0.000172784676287
34,0.000482121540279,0.000226029977389
35,0.000453541442283,0.000246813553036
36,0.000479602934065,0.000295520386605
37,0.000547733882892,0.000363851290395
38,0.000559385763867,0.000384472455902
39,0.000640241573351,0.000384490535102
40,0.000622503591956,0.000411040668826
41,0.000680550428864,0.000408257092506
42,0.000752261637921,0.000389482925519
43,0.000870200009362,0.000484463428307
44,0.000818163935945,0.000450427841491
45,0.000861732034148,0.000444542377152
46,0.001059924535812,0.000586069597649
47,0.001347227731144,0.000637058559334
48,0.001441425858156,0.000786708007426
49,0.001849003434458,0.000869656973138
50,0.001900791262815,0.000966267606264
51,0.002273602899906,0.001097782271051
52,0.002756925845882,0.001396290426306
53,0.003294661994166,0.001467990448115
54,0.003873709461642,0.001746811631162
55,0.004493162955492,0.001962143874895
56,0.005179770113065,0.002522046814715
57,0.006508676556914,0.002820832403185
58,0.008061472839901,0.003327291328987
59,0.009227485822499,0.00367486626766
60,0.011323738176354,0.004673171680895
61,0.013196644856311,0.005604559077474
62,0.017056603508907,0.006576976504687
63,0.020690619403852,0.008114616867307
64,0.024882716362162,0.009298433524718
65,0.029907910316714,0.011739042352896
66,0.035221453760546,0.014912241946482
67,0.041877635098481,0.018199033524225
68,0.049803410549534,0.021057491754457
69,0.057512393876221,0.025385958170374
70,0.065116512649809,0.029532270573567
71,0.073841791926169,0.035135377684212
72,0.083407699217321,0.041223671006606
73,0.094065730415915,0.048336999338154
74,0.104739098251846,0.053965557897965
75,0.11667447022728,0.061325120029704
76,0.126609222125155,0.068532975505472
77,0.138751783606388,0.075211508878581
78,0.151849203259034,0.082231302964621
79,0.165623383683024,0.087643243780638
80,0.180251396821301,0.093148853189383
81,0.19601047176008,0.098728587385106
82,0.205240006270513,0.106813681061815
83,0.217779843220752,0.11383723351795
84,0.231037867106112,0.120041384928332
85,0.248326436254131,0.124031142038759
86,0.261401236891944,0.134553032619197
87,0.266633705819365,0.138066905690821
88,0.268158592756167,0.143527582250495
89,0.277462086146683,0.147261220058544
90,0.29018180490667,0.14769253520316
91,0.304220040890719,0.153081477675795
92,0.303245632355974,0.160153010041414
93,0.303074827309728,0.157521008851294
94,0.311058213824305,0.160987827443983
95,0.323101117795845,0.164094580033855
96,0.323101117795845,0.164094580033855
97,0.323101117795845,0.164094580033855
98,0.323101117795845,0.164094580033855
99,0.323101117795845,0.164094580033855
100,0.323101117795845,0.164094580033855

