datum,kumulativni_pocet_testu,I_d_cr,I_d
2020-02-26,135,0,0.0
2020-02-27,170,0,0.0
2020-02-28,193,0,0.0
2020-02-29,200,0,0.0
2020-03-01,211,3,0.015738447731934883
2020-03-02,262,3,0.015738447731934883
2020-03-03,340,5,0.026230746219891472
2020-03-04,407,5,0.026230746219891472
2020-03-05,483,8,0.041969193951826356
2020-03-06,594,19,0.0996768356355876
2020-03-07,787,26,0.13639988034343567
2020-03-08,928,32,0.16787677580730542
2020-03-09,1193,38,0.1993536712711752
2020-03-10,1358,63,0.3305074023706326
2020-03-11,1816,94,0.4931380289339597
2020-03-12,2353,116,0.6085533123014821
2020-03-13,3198,141,0.7397070434009395
2020-03-14,4184,188,0.9862760578679194
2020-03-15,5212,294,1.5423678777296186
2020-03-16,6531,379,1.9882905634677737
2020-03-17,7825,446,2.3397825628143196
2020-03-18,9581,556,2.916858979651932
2020-03-19,11840,760,3.987073425423504
2020-03-20,13961,880,4.6166113347009
2020-03-21,15843,1037,5.440256766005492
2020-03-22,17644,1150,6.033071630575039
2020-03-23,19935,1272,6.673101838340391
2020-03-24,22997,1454,7.6279010007444406
2020-03-25,27104,1736,9.10731508754632
2020-03-26,31737,1986,10.418852398540894
2020-03-27,37096,2345,12.3022199771291
2020-03-28,41320,2597,13.624249586611631
2020-03-29,44168,2739,14.369202779256549
2020-03-30,49327,2891,15.16661746434125
2020-03-31,55988,3173,16.64603155114313
2020-04-01,62090,3405,17.863138175746094
2020-04-02,68763,3633,19.059260203373146
2020-04-03,76161,3898,20.449489753027393
2020-04-04,81998,4131,21.671842526874336
2020-04-05,86810,4198,22.023334526220882
2020-04-06,93245,4335,22.74205697264591
2020-04-07,101418,4409,23.1302720167003
2020-04-08,109887,4584,24.0483481343965
2020-04-09,118067,4663,24.462793924670788
2020-04-10,123769,4687,24.588701506526267
2020-04-11,128660,4725,24.788055177797442
2020-04-12,131910,4701,24.662147595941963
2020-04-13,135125,4655,24.420824730718962
2020-04-14,141298,4543,23.833256015393392
2020-04-15,149774,4499,23.602425448658348
2020-04-16,158155,4363,22.8889491514773
2020-04-17,166443,4166,21.855457750413574
2020-04-18,172048,4117,21.59839643745864
2020-04-19,176075,4056,21.278381333575965
2020-04-20,182642,3968,20.816720200105873
2020-04-21,190983,3872,20.313089872683957
2020-04-22,199801,3673,19.269106173132275
2020-04-23,207702,3494,18.330045458460162
2020-04-24,214831,3323,17.432953937739875
2020-04-25,219277,3256,17.08146193839333
2020-04-26,222658,3227,16.929323610317958
2020-04-27,230412,3079,16.15289352220917
2020-04-28,239153,2977,15.617786299323383
2020-04-29,246475,2868,15.04595603172975
2020-04-30,253871,2768,14.521341107331919
2020-05-01,258368,2702,14.175095257229351
2020-05-02,262253,2627,13.78163406393098
2020-05-03,266134,2541,13.330465228948846
2020-05-04,273890,2413,12.658958125719625
2020-05-05,283273,2325,12.197296992249536
2020-05-06,291325,2230,11.698912814071598
2020-05-07,298924,2121,11.127082546477963
2020-05-08,303434,2101,11.022159561598396
2020-05-09,307222,2044,10.723129054691634
2020-05-10,311274,2018,10.586729174348198
2020-05-11,319083,1945,10.203760279537782
2020-05-12,327838,1899,9.962437414314781
2020-05-13,335525,1812,9.50602243008867
2020-05-14,342427,1797,9.427330191428995
2020-05-15,349217,1772,9.296176460329539
2020-05-16,353414,1780,9.338145654281364
2020-05-17,356967,1750,9.180761176962015
2020-05-18,364425,1777,9.32240720654943
2020-05-19,372761,1788,9.380114848233191
2020-05-20,380279,1770,9.285684161841582
2020-05-21,387569,1719,9.018130550398688
2020-05-22,395317,1717,9.007638251910732
2020-05-23,400376,1755,9.206991923181906
2020-05-24,404225,1793,9.406345594453082
2020-05-25,411733,1758,9.222730370913842
2020-05-26,418974,1737,9.112561236790297
2020-05-27,425820,1697,8.902715267031166
2020-05-28,431833,1708,8.960422908714927
2020-05-29,437946,1708,8.960422908714927
2020-05-30,441494,1713,8.986653654934818
2020-05-31,443635,1734,9.096822789058363
2020-06-01,449356,1725,9.049607445862557
2020-06-02,455834,1730,9.07583819208245
2020-06-03,461147,1734,9.096822789058363
2020-06-04,466158,1742,9.13879198301019
2020-06-05,470331,1717,9.007638251910732
2020-06-06,472481,1743,9.144038132254167
2020-06-07,474608,1785,9.364376400501255
2020-06-08,479292,1810,9.495530131600713
2020-06-09,483844,1833,9.616191564212214
2020-06-10,487912,1841,9.65816075816404
2020-06-11,491651,1868,9.799806787751454
2020-06-12,495377,1877,9.84702213094726
2020-06-13,497029,1916,10.051621951462412
2020-06-14,498150,1939,10.172283384073912
2020-06-15,501823,1952,10.24048332424563
2020-06-16,505846,1962,10.292944816685415
2020-06-17,509882,1965,10.308683264417349
2020-06-18,514285,2039,10.696898308471743
2020-06-19,517859,2114,11.090359501770115
2020-06-20,519558,2147,11.2634824268214
2020-06-21,520871,2188,11.47857454582451
2020-06-22,524781,2219,11.641205172387835
2020-06-23,529348,2273,11.924497231562663
2020-06-24,533635,2334,12.24451233544534
2020-06-25,537682,2377,12.470096752936406
2020-06-26,542215,2488,13.052419319017996
2020-06-27,544769,2732,14.3324797345487
2020-06-28,547192,3025,15.869601463034341
2020-06-29,551677,3186,16.714231491314848
2020-06-30,556089,3296,17.291307908152458
2020-07-01,560682,3318,17.40672319151998
2020-07-02,565347,3393,17.800184384818355
2020-07-03,570456,3494,18.330045458460162
2020-07-04,572143,3592,18.844168084370033
2020-07-05,573667,3649,19.143198591276796
2020-07-06,575381,3686,19.337306113303995
2020-07-07,579540,3750,19.673059664918604
2020-07-08,584946,3774,19.798967246774083
2020-07-09,589628,3791,19.888151783921714
2020-07-10,594961,3867,20.286859126464066
2020-07-11,597282,3907,20.4967050962232
2020-07-12,599069,3960,20.774751006154048
2020-07-13,603493,3964,20.79573560312996
2020-07-14,608295,4021,21.094766110036723
2020-07-15,612989,4116,21.593150288214662
2020-07-16,617719,4209,22.08104216790464
2020-07-17,622446,4317,22.647626286254297
2020-07-18,624780,4419,23.182733509140085
2020-07-19,626610,4499,23.602425448658348
2020-07-20,632395,4654,24.415578581474982
2020-07-21,638484,4845,25.417593087074838
2020-07-22,638484,5072,26.60846896545791
